code_externe,nom,categorie,prix_vente,unite,origine,taux_tva
PFPETFOUAM,PETIT FOUR AMANDE,Non classé,35.42,kg,achete,7
PFPETFOUNOI,PETIT FOUR NOISETTE,Non classé,36.429,kg,achete,19
GE295,PIECE MONTEE 10 ETAGES DACQUOISE PISTACHE/ NOISETT,ENTREMET,1579.832,pièce,fabrique,19
GE287,PIECE MONTEE 2 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,201.681,pièce,fabrique,19
GE296,PIECE MONTEE 2 ETAGES PRESTIGE,ENTREMET,294.118,pièce,fabrique,19
GE288,PIECE MONTEE 3 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,798.319,pièce,fabrique,19
GE297,PIECE MONTEE 3 ETAGES PRESTIGE,ENTREMET,436.975,pièce,fabrique,19
GE289,PIECE MONTEE 4 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,1176.471,pièce,fabrique,19
GE298,PIECE MONTEE 4 ETAGES PRESTIGE,ENTREMET,546.218,pièce,fabrique,19
GE290,PIECE MONTEE 5 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,1638.655,pièce,fabrique,19
GE299,PIECE MONTEE 5 ETAGES PRESTIGE,ENTREMET,739.496,pièce,fabrique,19
GE291,PIECE MONTEE 6 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,714.286,pièce,fabrique,19
GE300,PIECE MONTEE 6 ETAGES PRESTIGE,ENTREMET,1025.21,pièce,fabrique,19
GE292,PIECE MONTEE 7 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,882.353,pièce,fabrique,19
GE301,PIECE MONTEE 7 ETAGES PRESTIGE,ENTREMET,1327.731,pièce,fabrique,19
GE293,PIECE MONTEE 8 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,1075.63,pièce,fabrique,19
GE294,PIECE MONTEE 9 ETAGES DACQUOISE PISTACHE/ NOISETTE,ENTREMET,1235.294,pièce,fabrique,19
GE302,PIECES MONTEE 2  ETAGES FRUITS,ENTREMET,201.681,pièce,fabrique,19
GE303,PIECES MONTEE 3 ETAGES FRUITS,ENTREMET,226.891,pièce,fabrique,19
GE304,PIECES MONTEE 4  ETAGES FRUITS,ENTREMET,268.908,pièce,fabrique,19
GE305,PIECES MONTEE 5  ETAGES FRUITS,ENTREMET,386.555,pièce,fabrique,19
GE306,PIECES MONTEE 6  ETAGES FRUITS,ENTREMET,546.218,pièce,fabrique,19
GE307,PIECES MONTEE 7  ETAGES FRUITS,ENTREMET,747.899,pièce,fabrique,19
SA19,PIZZA CARRE,SALE,2.212,pièce,fabrique,19
SA20,PIZZA FEUILLETE,FLLTAGE,4.202,pièce,fabrique,19
SA212,PIZZA MOYEN,SALE,4.202,pièce,fabrique,19
SA211,PIZZA RONDE,FLLTAGE,7.395,pièce,fabrique,19
SA16,PIZZA SPECIAL,SALE,3.982,pièce,fabrique,19
SA17,PIZZA THON,SALE,2.655,pièce,fabrique,19
SA18,PIZZA THON FROMAGE,SALE,3.097,pièce,fabrique,19
SA200,PIZZA/ KG,SALE,24.37,pièce,fabrique,19
GE008,PLAISIR 60*40,ENTREMET,252.101,pièce,fabrique,19
GEENTPLAISIR,PLAISIR 8P,ENTREMET,37.815,pièce,fabrique,19
GE129,PLAISIR ENTREMET,ENTREMET,33.613,kg,fabrique,19
GE130,PLAISIR IND,GATIND1,5.63,pièce,fabrique,19
142240,PLAQUE BONNE ANNEE CHOCOLAT BL 1PC,Non classé,0,pièce,achete,19
CU222,PLAT  PIMENT FARCIE,PLAT,11.345,pièce,fabrique,19
CU122,PLAT AGNEAU,PLAT,29.412,pièce,fabrique,19
PLAT C,PLAT COMPLET,PLAT,28.319,pièce,fabrique,19
PLAT CO,PLAT COMPOSE KEFTJI /POULET,PLAT,11.345,pièce,fabrique,19
CU123,PLAT ESCALOPE,PLAT,8.403,pièce,fabrique,19
CU21,PLAT KEFTA,PLAT,10.084,pièce,fabrique,19
CU27,PLAT MIXTE POULET,PLAT,13.025,pièce,fabrique,19
PLAT V,PLAT OMLET,PLAT,8.403,pièce,fabrique,19
CUI124,PLAT POISSON,PLAT,15.966,pièce,fabrique,19
CU55,PLAT SAN POULET,PLAT,5.462,pièce,fabrique,19
CU277,PLAT TAJINE,PLAT,7.563,pièce,fabrique,19
CU22,PLAT TAJINE MALSOUKA,Non classé,4.425,pièce,fabrique,19
CU35,PLAT TASTIRA,PLAT,2.212,pièce,fabrique,19
CUI15,PLATEAU TAJINE 30/40,SALE,12.832,pack,fabrique,19
CUI12,PLATEAU TAJINE 60*40,SALE,201.681,pièce,fabrique,19
GTS289,PO ASSIDA ZG AVEC DECOR,GATIND1,7.143,pièce,fabrique,19
SEK,POICHICHE PETIT,Non classé,0,kg,achete,19
MPPOISSON,POISSON DOURADE,PLAT,23.8,pièce,achete,19
149774,POLYSTERENE CARRE EP15CM,Non classé,0,pièce,achete,19
EMB POLYSTIRENE,POLYSTIRENE30/30,Non classé,0,pièce,achete,19
GE256,POMME DE TERRE AMANDE,GATIND2,4.622,pièce,fabrique,19
GE255,POMME DE TERRE CHOCOLAT,GATIND2,3.613,pièce,fabrique,19
GE225,POMPADOUR,Non classé,33.613,kg,fabrique,19
GEPAMP12,POMPADOUR 12P,ENTREMET,52.101,pièce,fabrique,19
GEPOM20P,POMPADOUR 30*30,ENTREMET,86.555,pièce,fabrique,19
GEPAMP24,POMPADOUR 30*40,ENTREMET,103.361,pièce,fabrique,19
GEPAMP36 P,POMPADOUR 40*40,ENTREMET,138.655,pièce,fabrique,19
GEPAMP4,POMPADOUR 4P,ENTREMET,17.647,pièce,fabrique,19
GEPOMPA60*40,POMPADOUR 60*40,ENTREMET,206.723,pièce,fabrique,19
GEPAMP6,POMPADOUR 6P,ENTREMET,26.05,pièce,fabrique,19
GEPAMP8,POMPADOUR 8P,ENTREMET,34.454,pièce,fabrique,19
GEPOMPIND,POMPADOUR IND,GATIND2,5.042,pièce,fabrique,19
PFPOPS CHOC,POPD CHOCOLAT,EPFINE,5.042,boîte,achete,19
PFPOP NOI,POPS NOISETTE,EPFINE,6.723,boîte,achete,19
PFPSES,POPS SESAME,EPFINE,5.042,boîte,achete,19
KEFTA,PORTION KEFTA,PLAT,1.327,pièce,fabrique,19
TAJINE,PORTION TAJINE VIANDE EPINARD,PLAT,5.462,pièce,fabrique,19
2007,POT 212 BRUSCHETTA,EPFINE,6.05,pièce,achete,7
2005,POT 212 SALADE MECHOUIA DOUCE,EPFINE,6.27,pièce,achete,7
2003,POT 212 TARTINADE D'ARICHAUTS AU CITRON CONFIT,EPFINE,6.05,pièce,achete,7
2004,POT 212 TARTINADE D'AUBERGINES,EPFINE,6.27,pièce,achete,7
2000,POT 314 ARTICHAUTS GRILLES,EPFINE,7.9,pièce,achete,7
2008,POT 314 CITONS CONFITS EN LAMELLES,EPFINE,7.524,pièce,achete,7
2002,POT 314 COEUR D'ARTICHAUT,EPFINE,7.524,pièce,achete,7
2006,POT 314 SHAKSHOUKA,EPFINE,7.524,pièce,achete,7
2001,POT 314 TOMATE SECHEES,EPFINE,7.524,pièce,achete,7
GTS290,POT ASSIDA NOI AVEC DECOR,GATIND1,7.143,pièce,fabrique,19
PFEEFPOTBBA,POT BEBE ARTICHAUT 200G,EPFINE,11.092,pièce,achete,19
GTS267,POT BOUZA,GTV,9.664,pièce,fabrique,19
PFEFPOTBSFR,POT BSISSA FERRERO ROCHER,EPFINE,10.084,pièce,fabrique,19
PFEFPOTBSFTR,POT BSISSA FRUITS ROUGES,EPFINE,7.983,pièce,fabrique,19
PFEFPOTBS,POT BSISSA FRUITS SECS,EPFINE,8.403,boîte,achete,19
PFEFPOTBSLT,POT BSISSA LIGHT,EPFINE,10.084,boîte,achete,19
PFEFPOTBSN,POT BSISSA NOISETTE,EPFINE,10.924,pièce,fabrique,19
PFEFPOTBSP,POT BSISSA PISTACHE,EPFINE,13.445,pièce,fabrique,19
PFEFPOTCTS,POT CONCASSE DE TOMATES SECHEES,EPFINE,7.143,pièce,achete,19
CU34,POT CREME DE DATTE,RAMADAN,2.941,pièce,achete,19
POT,POT CREME MOUSLINE,GATIND2,1.261,pièce,fabrique,19
PFPOT,POT CROUSTI MOELLEUX,GATIND2,10.0,pièce,fabrique,19
GL222,POT GLACE PRALINE,GLACE,6.303,pièce,fabrique,19
PFEFPOTHAR,POT HARISSA 200G,EPFINE,6.891,pièce,achete,19
PFEFPOTHOU,POT HOUMOUS 200G,EPFINE,7.143,pièce,achete,19
PFEFPOTHRO,POT HROUSS 200G,EPFINE,5.042,pièce,achete,19
GT202,POT MADMOUJA,FLLTAGE,5.462,pièce,fabrique,19
GTS38,POT MAHKOUKA,Non classé,3.361,pièce,fabrique,19
CU29,POT MASSFOUF,RAMADAN,3.361,pièce,fabrique,19
PFEFPOTPEB,POT PESTO BASILIC 200G,EPFINE,14.286,pièce,achete,19
GA101,POT ROMEN,GATIND2,3.361,pièce,fabrique,19
PFEFPOTSAM,POT SALADE MECHWEYA 200G,EPFINE,5.882,pièce,achete,19
PFEFPOTTAA,POT TAPENADE ARTICHAUTS 200G,EPFINE,7.143,pièce,achete,19
GTS42,POT TARAOUNE,Non classé,4.202,pièce,fabrique,19
GL290,POT TIRAMISSO,GATIND2,8.403,pièce,fabrique,19
PFEFPOTTOS,POT TOMATES SECHEES 200G,EPFINE,4.675,pièce,achete,19
GL440,POT VACHERIN,GLACE,7.143,pièce,fabrique,19
GL4400,POT VACHERIN SPECIAL,GLACE,7.143,pièce,fabrique,19
GTS268,POT ZRIGA,GATIND1,5.042,pièce,fabrique,19
GTS26,POT ZRIR IND,GTV,11.765,pièce,fabrique,19
GECAKE,POTCHESSECAKE,GATIND2,8.403,pièce,fabrique,19
CH15,POULE 90GR,CHOCOLAT,4.992,kg,fabrique,19
CH14,POUSIN 60GR,CHOCOLAT,3.328,kg,fabrique,19
GEPRCOPA10,PR COEUR 10 AVEC PA,ENTREMET,37.815,pièce,fabrique,19
GEPRCOPA6,PR COEUR 6 AVEC PA,ENTREMET,23.529,pièce,fabrique,19
GEPRCOPA8,PR COEUR 8 AVEC PA,ENTREMET,29.412,pièce,fabrique,19
GEPRNOISSOIREE,PR NOISET 60*40 SOIREE SAN DECO,ENTREMET,0,pièce,fabrique,19
GEPRNOI30*40PA,PR NOISETTE AVEC PA30*40,ENTREMET,97.479,pièce,fabrique,19
GE2140,PRALIN 30*30 MOUSSE NOIX,GATIND1,81.513,pièce,fabrique,19
GEPRCH,PRALIN CHOC /NOISETTE 12P,ENTREMET,50.42,pièce,fabrique,19
GEPRCH6,PRALIN CHOCLAT 4P,ENTREMET,16.807,pièce,fabrique,19
GEPRCHO12,PRALIN CHOCOLAT 12P,ENTREMET,44.538,pièce,fabrique,19
GEPRCHO30*30,PRALIN CHOCOLAT 30*30,ENTREMET,67.227,pièce,fabrique,19
GEPRCH24,PRALIN CHOCOLAT 30*40,ENTREMET,88.235,pièce,fabrique,19
GEPRALIN CH,PRALIN CHOCOLAT 40*40,ENTREMET,120.168,pièce,fabrique,19
GEPRCH48,PRALIN CHOCOLAT 60*40,ENTREMET,178.992,pièce,fabrique,19
GEPRCHO6,PRALIN CHOCOLAT 6P,ENTREMET,22.689,pièce,fabrique,19
GEPRCHO8,PRALIN CHOCOLAT 8P,ENTREMET,30.252,pièce,fabrique,19
GE2404,PRALIN CHOCOLAT NOISETTE,ENTREMET,33.613,pièce,fabrique,19
GEPRCOEUR10,PRALIN COEUR 10,ENTREMET,47.899,pièce,fabrique,19
GEPRCOEUR6,PRALIN COEUR 6,ENTREMET,26.891,pièce,fabrique,19
GEPRCOEUR8,PRALIN COEUR 8,ENTREMET,37.815,pièce,fabrique,19
GEPCOEURP,PRALIN COEUR PISTACHE 8P,ENTREMET,44.538,pièce,fabrique,19
GEPCOURP,PRALIN COEUR PISTACHR 6P,ENTREMET,32.773,pièce,fabrique,19
GE211,PRALIN EN GRAIN,Non classé,29.412,kg,fabrique,19
GE212,PRALIN FRAISE,Non classé,23.529,kg,fabrique,19
GE213,PRALIN FRAMBOISE,Non classé,23.529,kg,fabrique,19
GEPRFR60*40,PRALIN FRUIT A LA PATE AMANDE 60*40,ENTREMET,163.866,pièce,fabrique,19
GEPRLIQ12,PRALIN LIQUIDE VARIE 12P,ENTREMET,45.378,pièce,fabrique,19
GEPRLIQ24,PRALIN LIQUIDE VARIE 30*40,ENTREMET,75.63,pièce,fabrique,19
GEPRLIQ48,PRALIN LIQUIDE VARIE 60*40,ENTREMET,168.067,pièce,fabrique,19
GEPRLIQ6,PRALIN LIQUIDE VARIE 6P,ENTREMET,18.487,pièce,fabrique,19
GEPRLIQ8,PRALIN LIQUIDE VARIE 8P,ENTREMET,25.21,pièce,fabrique,19
GE29,PRALIN MOKA,ENTREMET,23.529,kg,fabrique,19
GEPRMOKA60*40,PRALIN MOKA 40*60,ENTREMET,161.345,pièce,fabrique,19
GEPRALINMOKA48,PRALIN MOKA 60*40,ENTREMET,161.345,pièce,fabrique,19
GEPRON NOG,PRALIN NOGATINE 12 AVEC PATE,ENTREMET,57.983,pièce,fabrique,19
GEPRON 30*30,PRALIN NOGATINE 30*30,ENTREMET,75.63,pièce,fabrique,19
GEPRON 6P,PRALIN NOGATINE 6P,GATIND1,22.689,pièce,fabrique,19
GEPRNP48,PRALIN NOI/PIS 60*60,ENTREMET,336.134,pièce,fabrique,19
GEPRNOIS10P,PRALIN NOIS 10P AVEC PAT AMANDE,ENTREMET,50.42,pièce,fabrique,19
GE21,PRALIN NOISETTE,Non classé,23.529,kg,fabrique,19
GE23,PRALIN NOISETTE  CHOCOLAT,ENTREMET,25.21,kg,fabrique,19
GE24,PRALIN NOISETTE (GRAIN) CHOCOLAT,Non classé,23.529,kg,fabrique,19
GEPRN12,PRALIN NOISETTE 12 PR AVEC PA,ENTREMET,75.63,pièce,fabrique,19
GEPRNOI12,PRALIN NOISETTE 12P,ENTREMET,47.899,pièce,fabrique,19
PRNOIS30*30,PRALIN NOISETTE 30*30,ENTREMET,79.832,pièce,fabrique,19
GEPRN01,PRALIN NOISETTE 30*30 A LA PATE D AMANDE,ENTREMET,84.874,pièce,fabrique,19
GEPRNOI24,PRALIN NOISETTE 30*40,ENTREMET,95.798,pièce,fabrique,19
GEPRNOIPA24,PRALIN NOISETTE 30*40 AVEC PA,ENTREMET,109.244,pièce,fabrique,19
GEPRNOI40*40,PRALIN NOISETTE 40*40,ENTREMET,126.05,pièce,fabrique,19
GEPRAL NOI,PRALIN NOISETTE 4P,ENTREMET,15.966,pièce,fabrique,19
GEPRNOI48,PRALIN NOISETTE 60*40,ENTREMET,191.597,pièce,fabrique,19
GEPRALNOI,PRALIN NOISETTE 60*40 AVEC PATE AMANDE,ENTREMET,209.244,pièce,fabrique,19
GEPRNOI6,PRALIN NOISETTE 6P,ENTREMET,24.37,pièce,fabrique,19
GEPRNOI8,PRALIN NOISETTE 8P,ENTREMET,31.933,pièce,fabrique,19
GEPRNOIS,PRALIN NOISETTE 8P A LA PATE AMANDE,ENTREMET,41.176,pièce,fabrique,19
GEPRNOIS40*40,PRALIN NOISETTE40*40 AVEC PATE AMANDE,ENTREMET,152.101,pièce,fabrique,19
GEPRNOUG40,PRALIN NOUGATINE 12P,ENTREMET,45.378,pièce,fabrique,19
GEPRNOUG24,PRALIN NOUGATINE 30*40,ENTREMET,90.756,pièce,fabrique,19
GEPRANOU40,PRALIN NOUGATINE 40*40,ENTREMET,120.168,pièce,fabrique,19
GEPRNOUG48,PRALIN NOUGATINE 60*40,ENTREMET,181.513,pièce,fabrique,19
GEPRNOUG6,PRALIN NOUGATINE 6P,ENTREMET,22.689,pièce,fabrique,19
GEPRNOUG8,PRALIN NOUGATINE 8P,ENTREMET,30.252,pièce,fabrique,19
GEPRPI6,PRALIN PIST 6P AVEC PAT AMANDE,ENTREMET,21.008,pièce,fabrique,19
GEPRPIS/CH,PRALIN PIST CHOC 12P,ENTREMET,36.975,pièce,fabrique,19
GEPRPIS12,PRALIN PISTACHE 12P,ENTREMET,67.227,pièce,fabrique,19
GEPRALIN P,PRALIN PISTACHE 30*30,ENTREMET,111.765,pièce,fabrique,19
GEPRCH/PIS30*30,PRALIN PISTACHE 30*30,ENTREMET,111.765,pièce,fabrique,19
GEPRPIST30*30+PA,PRALIN PISTACHE 30*30+ PATE A AMANDE,ENTREMET,105.042,pièce,fabrique,19
GEPRPIS24,PRALIN PISTACHE 30*40,ENTREMET,133.613,pièce,fabrique,19
GEPRPIST36,PRALIN PISTACHE 40*40,ENTREMET,178.151,pièce,fabrique,19
GEPRPIST40*40,PRALIN PISTACHE 40*40,ENTREMET,178.151,pièce,fabrique,19
GEPRALI PIST,PRALIN PISTACHE 4P,ENTREMET,22.689,pièce,fabrique,19
GEPRPIS48,PRALIN PISTACHE 60*40,ENTREMET,267.227,pièce,fabrique,19
GEPRPIS6,PRALIN PISTACHE 6P,ENTREMET,33.613,pièce,fabrique,19
GEPRPIS8,PRALIN PISTACHE 8P,ENTREMET,44.538,pièce,fabrique,19
GEPRPIS,PRALIN PISTACHE 8P A LA PATE AMANDE,ENTREMET,49.58,pièce,fabrique,19
GEPRPIS+PA,PRALIN PISTACHE 8P AVEC PATE  AMANDE,ENTREMET,50.42,pièce,fabrique,19
GE27,PRALIN PISTACHE CHOCOLAT,Non classé,23.529,kg,fabrique,19
GEPRPIS40*40+PA,PRALIN PISTACHE40*40+PA,ENTREMET,127.731,pièce,fabrique,19
GEPR4P,PRALIN VARIE 4PER,ENTREMET,13.445,pièce,fabrique,19
GEPRAL CH,PRALIN VARIEE CDG DE 4P,ENTREMET,13.445,pièce,fabrique,19
GE210,PRALIN VARIEE DE 6P CDG,ENTREMET,16.807,kg,fabrique,19
PFPRALINE,PRALINE AMANDE,GATIND1,8.403,pièce,achete,19
PFEFPRAN,PRALINE AMANDE NATURELLE (150g),Non classé,10.504,pièce,achete,19
PFEFPRAR,PRALINE AMANDE ROUGE (150gr),Non classé,10.504,pièce,achete,19
PFEFPRCN,PRALINE CACAHUETE NATURELLE (150gr),Non classé,5.462,pièce,achete,19
PFEFPRCR,PRALINE CACAHUETE ROUGE(150g),Non classé,5.462,pièce,achete,19
PFPRALNOIS,PRALINE NOISETTE,GATIND1,3.782,pièce,achete,19
GEPRALINEPIST,PRALINE PISTACHE,GATIND1,4.622,pièce,fabrique,19
GEPRALINEPISTACH,PRALINE PISTACHE IND,GATIND1,5.31,pièce,fabrique,19
GE224,PRESIDENT,Non classé,25.21,kg,fabrique,19
GEPREST12,PRESTIGE 12 PER,ENTREMET,105.042,pièce,fabrique,19
GEPREST20P,PRESTIGE 30*30,ENTREMET,174.79,pièce,fabrique,19
GEPREST24P,PRESTIGE 30*40,ENTREMET,209.244,pièce,fabrique,19
GEPREST60*40AVEC,PRESTIGE 60*40,ENTREMET,418.487,pièce,fabrique,19
GEPREST6,PRESTIGE 6P,ENTREMET,60.504,pièce,fabrique,19
GEPRESTIGE8,PRESTIGE 8P,ENTREMET,69.748,pièce,fabrique,19
GEPRESTIGE,PRESTIGE IND,GATIND2,9.244,pièce,fabrique,19
GEPREST30P,PRESTIGE40*40,ENTREMET,277.311,pièce,fabrique,19
GEPREST48,PRESTIGE60*40,ENTREMET,418.487,pièce,fabrique,19
0999500,PRODUIT FINI / BASE 13%,Non classé,0,pièce,achete,19
0999400,PRODUIT FINI / BASE 19%,Non classé,0,pièce,achete,19
0999600,PRODUIT FINI / BASE 7%,Non classé,0,pièce,achete,7
GE3115,PROFITEROL NOISETTE,GATIND2,2.101,pièce,fabrique,19
GEPYRAMIDE,PYRAMIDE,GATIND2,0.025,pièce,fabrique,19
GE254,PYRAMIDE AMANDE,GATIND2,4.622,pièce,fabrique,19
GE253,PYRAMIDE CHOCOLAT,GATIND2,4.202,pièce,fabrique,19
CH9,PÈRE NOEL 100GR,CHOCOLAT,5.546,kg,fabrique,19
CH10,PÈRE NOEL 160GR,CHOCOLAT,8.874,kg,fabrique,19
CH8,PÈRE NOEL 75GR,CHOCOLAT,4.16,kg,fabrique,19
SA24,QUICHE CHAMPIGNON,SALE,4.454,pièce,fabrique,19
SA2400,QUICHE DE 8P,Non classé,33.613,pièce,fabrique,19
SA25,QUICHE EPINARD,FLLTAGE,4.454,pièce,fabrique,19
SA22,QUICHE POIREAU,SALE,4.202,pièce,fabrique,19
SA2440,QUICHE POULET,FLLTAGE,4.454,pièce,fabrique,19
SAQUICHE,QUICHE THON,FLLTAGE,2.773,pièce,fabrique,19
SA23,QUICHE TOMATE,FLLTAGE,4.202,pièce,fabrique,19
SA255,QUICHE/KG,SALE,38.655,kg,fabrique,19
GTS19,RAISIN,GTV,58.824,kg,fabrique,19
0603568,RATATOUILLE,PLAT,3.097,pièce,fabrique,19
DIV 200,RECEPTION DIRECTION GENERALE,Non classé,3726.824,pièce,achete,19
REENTREM,RED VELVET 8P,ENTREMET,33.613,pièce,fabrique,19
REGESPC,RED VELVET IND,GATIND2,4.622,pièce,fabrique,19
REENTREM12,RED VOLVET 12 P,GATIND1,50.42,pièce,fabrique,19
BOISSON RED,REDBULL,BOISSONS,90.0,pièce,achete,19
CUI5,REPAS,Non classé,11.765,pièce,fabrique,19
CU124,REPAS COUSCOUS,Non classé,11.504,pièce,fabrique,19
REPAS,REPAS SECOND TOUR 24 PAX,Non classé,54.937,pièce,fabrique,19
GA7018,RICE CRUNCHY,Non classé,0,pièce,achete,19
PFRISOTTO,RISOTTO FRUIT DE MER,Non classé,0,pièce,fabrique,19
BA006,RISOTTO FRUITS DE MERE,PLAT,5.042,pièce,fabrique,19
CU0050,RIZ  ORIENTAL FEKIA,PLAT,12.185,pièce,fabrique,19
CU10,RIZ DJERBIEN,PLAT,12.185,pièce,fabrique,19
CU100,RIZ JERBI CDG,PLAT,5.752,pièce,fabrique,19
CU30,RIZ ORIENTAL AU AGNEAU,PLAT,20.168,pièce,fabrique,19
CU144,RIZ ORIENTAL AU ESCALOPE,PLAT,8.85,pièce,fabrique,19
CU9,RIZ ORIENTAL AU POULET,PLAT,11.345,pièce,fabrique,19
CUI9,RIZ ORIENTAL AU STECK,PLAT,7.522,pièce,fabrique,19
PFROCHER,ROCHER CHOCOLAT,CHOCOLAT,1.848,pièce,fabrique,19
CH25,ROCHER CROQUANT /SACHET,CHOCOLAT,10.084,pièce,fabrique,19
GATEAU,ROLO PISTACHE,GATIND1,4.673,pièce,achete,7
SA448,ROULE SAUMON PISTACHE,SALE,3.782,pièce,fabrique,19
ROULEAU INOX,ROULEAU INOX REGLABLE,Non classé,0,pièce,achete,19
GE265,ROULEE CHOCOLAT,GATIND2,4.202,pièce,fabrique,19
SA443,ROULEE FROMAGE,SALE,4.622,pièce,fabrique,19
GERMOUSLINE,ROULEE MOUSLINE IND,GATIND1,3.782,pièce,fabrique,19
GE240,ROULEE MOUSSE CHOCOLAT IND,GATIND1,3.782,pièce,fabrique,19
GE267,ROULEE NOISETTE,GATIND2,3.782,pièce,fabrique,19
GE268,ROULEE PISTACHE,GATIND2,3.782,pièce,fabrique,19
GE266,ROULEE VANILLE,GATIND2,3.782,pièce,fabrique,19
EURGATEAU,ROYAL NOISETTE,GATIND1,4.202,pièce,fabrique,19
GERUSNOISET30*30,RUS NOISETTE 30*30,ENTREMET,115.126,pièce,fabrique,19
GERUSNOISET40*40,RUS NOISETTE 40*40,ENTREMET,205.882,pièce,fabrique,19
GERUSNOISET8,RUS NOISETTE 8P,ENTREMET,52.941,pièce,fabrique,19
GERUSNOISET,RUS NOISETTE IND,GATIND1,8.319,pièce,fabrique,19
GERUSPIST,RUS PISTACHE 12 PER,ENTREMET,136.134,pièce,fabrique,19
GERUSPIST30*30,RUS PISTACHE 30*30,ENTREMET,180.672,pièce,fabrique,19
GERUSPIST30,RUS PISTACHE 40*40,ENTREMET,361.345,pièce,fabrique,19
RPIS60*40,RUS PISTACHE 60*40,ENTREMET,491.597,pièce,fabrique,19
GERUSPIST6,RUS PISTACHE 6P,ENTREMET,63.025,pièce,fabrique,19
GERUSPIST8,RUS PISTACHE 8PER,ENTREMET,92.437,pièce,fabrique,19
GERUSPISTACHE,RUS PISTACHE IND,GATIND1,11.765,pièce,fabrique,19
RUS 60*40,RUSSE PISTACHE 60*40,GATIND1,542.017,pièce,fabrique,19
REC COC,Réception Coctail,Non classé,44.818,pièce,fabrique,19
SE49,SABLE BARDO,GTXSEC,3.361,pièce,achete,19
SE18,SABLE CHOCOLAT GM,FLLTAGE,2.941,pièce,fabrique,19
SE20,SABLE GM,FLLTAGE,2.941,pièce,fabrique,19
SE21,SABLE PM,FLLTAGE,27.731,kg,fabrique,19
CH12,SABOT 120GR,CHOCOLAT,6.655,kg,fabrique,19
CH13,SABOT 180GR,CHOCOLAT,9.983,kg,fabrique,19
CH11,SABOT 75GR,CHOCOLAT,4.16,kg,fabrique,19
PFSACBRELPEHD,SAC MG MREIL PEHD,Non classé,0.19,pièce,achete,19
GESACHER30*40,SACHER  30*40,ENTREMET,138.655,pièce,fabrique,19
GESACHER30*30,SACHER 12P,ENTREMET,69.748,pièce,fabrique,19
GESACHAR20,SACHER 30*30,ENTREMET,115.966,pièce,fabrique,19
GESACHER40*40,SACHER 40*40,ENTREMET,184.874,pièce,fabrique,19
GESACHER60*40,SACHER 60*40,ENTREMET,277.311,pièce,fabrique,19
GESACHAR8,SACHER 8PER,ENTREMET,46.218,pièce,fabrique,19
GESACHAR,SACHER IND,GATIND1,5.042,pièce,fabrique,19
177,SACHET 8*16 SUJET CHOCOLAT,Non classé,0,pièce,achete,19
EMBSACHET12*25,SACHET12*25,Non classé,2.185,pièce,achete,19
SACHE CHOCOLAT 2,SACHETTE CHOCOLAT GM,CHOCOLAT,16.807,pièce,fabrique,19
SACHE CHOCOLAT,SACHETTE CHOCOLAT PM,CHOCOLAT,8.403,pièce,fabrique,19
GE2702,SAINT HONORE,Non classé,33.613,kg,fabrique,19
GE2703,SAINT HONORE IND,GATIND1,3.782,pièce,fabrique,19
CU39,SALADE ADES,SALADE,3.782,pièce,fabrique,19
CU200,SALADE BESBES,SALADE,3.782,pièce,fabrique,19
CU28,SALADE BETTERAVE,SALADE,3.782,pièce,fabrique,19
CU38,SALADE CAROTTES,SALADE,3.782,pièce,fabrique,19
CU20,SALADE COMPOSE,SALADE,9.16,pièce,fabrique,19
CU19,SALADE DE CHOUX POULP,SALADE,5.042,pièce,fabrique,19
GA100,SALADE DE FRUIT,GATIND2,3.613,pièce,fabrique,19
CU31,SALADE MAKARONI,SALADE,3.782,pièce,fabrique,19
CU33,SALADE MECHOUIA,SALADE,3.782,pièce,fabrique,19
CU399,SALADE NICOISE,SALADE,3.782,pièce,fabrique,19
CU18,SALADE PROTIENNE,SALADE,12.605,pièce,fabrique,19
CU16,SALADE RIZ,SALADE,3.782,pièce,fabrique,19
CU17,SALADE RUSS,SALADE,3.782,pièce,fabrique,19
CU201,SALADE TOMATE MOZZA,SALADE,4.622,pièce,fabrique,19
CU15,SALADE TUNISIENNE,SALADE,3.782,pièce,fabrique,19
CU2551,SALDE BORGHOL,SALADE,9.16,pièce,fabrique,19
SA51,SALE BOUCHE,SALE,41.176,kg,fabrique,19
SA5555,SALE VARIE SPECIAL,SALE,56.075,kg,fabrique,7
SA39,SALE VARIES,SALE,30.973,kg,fabrique,19
SA,SALEE SOIREE,SALE,24.779,kg,fabrique,19
SA399,SALEE SPECIAL,SALE,100.84,kg,fabrique,19
GT30,SAMSA AMANDE,GTV,60.504,kg,fabrique,19
GT302,SAMSA CHOCOLAT,GTV,77.311,kg,fabrique,19
GT32,SAMSA NOISETTE,GTV,77.311,kg,fabrique,19
GT33,SAMSA PISTACHE,GTV,113.445,kg,fabrique,19
